TimeDim,Level,Region,MCV1_Coverage,MCV2_Coverage,Coverage_Gap,Measles_Cases
1980,Regional,AFR,,,,1240993.0
1980,Regional,AMR,,,,257790.0
1980,Regional,EMR,,,,341624.0
1980,Regional,EUR,,,,492660.0
1980,Regional,SEAR,,,,199535.0
1980,Regional,WPR,,,,1319640.0
1981,Regional,AFR,,,,1413184.0
1981,Regional,AMR,,,,252378.0
1981,Regional,EMR,,,,453409.0
1981,Regional,EUR,,,,460966.0
1981,Regional,SEAR,,,,305787.0
1981,Regional,WPR,,,,1192731.0
1982,Regional,AFR,,,,1342685.0
1982,Regional,AMR,,,,153746.0
1982,Regional,EMR,,,,331721.0
1982,Regional,EUR,,,,434521.0
1982,Regional,SEAR,,,,258666.0
1982,Regional,WPR,,,,1102419.0
1983,Regional,AFR,,,,1346883.0
1983,Regional,AMR,,,,137410.0
1983,Regional,EMR,,,,302254.0
1983,Regional,EUR,,,,597455.0
1983,Regional,SEAR,,,,208154.0
1983,Regional,WPR,,,,993945.0
1984,Regional,AFR,,,,1076106.0
1984,Regional,AMR,,,,202758.0
1984,Regional,EMR,,,,218335.0
1984,Regional,EUR,,,,336329.0
1984,Regional,SEAR,,,,302042.0
1984,Regional,WPR,,,,891403.0
1985,Regional,AFR,,,,1142002.0
1985,Regional,AMR,,,,199744.0
1985,Regional,EMR,,,,229781.0
1985,Regional,EUR,,,,373610.0
1985,Regional,SEAR,,,,244113.0
1985,Regional,WPR,,,,630303.0
1986,Regional,AFR,,,,676757.0
1986,Regional,AMR,,,,227452.0
1986,Regional,EMR,,,,171208.0
1986,Regional,EUR,,,,422573.0
1986,Regional,SEAR,,,,201190.0
1986,Regional,WPR,,,,379516.0
1987,Regional,AFR,,,,641057.0
1987,Regional,AMR,,,,151396.0
1987,Regional,EMR,,,,171164.0
1987,Regional,EUR,,,,145003.0
1987,Regional,SEAR,,,,319049.0
1987,Regional,WPR,,,,255178.0
1988,Regional,AFR,,,,604244.0
1988,Regional,AMR,,,,133244.0
1988,Regional,EMR,,,,126977.0
1988,Regional,EUR,,,,289609.0
1988,Regional,SEAR,,,,292916.0
1988,Regional,WPR,,,,216950.0
1989,Regional,AFR,,,,561896.0
1989,Regional,AMR,,,,137417.0
1989,Regional,EMR,,,,83776.0
1989,Regional,EUR,,,,374023.0
1989,Regional,SEAR,,,,443014.0
1989,Regional,WPR,,,,222264.0
1990,Regional,AFR,,,,481204.0
1990,Regional,AMR,,,,218579.0
1990,Regional,EMR,,,,59058.0
1990,Regional,EUR,,,,185818.0
1990,Regional,SEAR,,,,224925.0
1990,Regional,WPR,,,,155490.0
1991,Regional,AFR,,,,446517.0
1991,Regional,AMR,,,,157602.0
1991,Regional,EMR,,,,64177.0
1991,Regional,EUR,,,,304166.0
1991,Regional,SEAR,,,,211085.0
1991,Regional,WPR,,,,186696.0
1992,Regional,AFR,,,,581125.0
1992,Regional,AMR,,,,100741.0
1992,Regional,EMR,,,,89758.0
1992,Regional,EUR,,,,330546.0
1992,Regional,SEAR,,,,168772.0
1992,Regional,WPR,,,,210250.0
1993,Regional,AFR,,,,395025.0
1993,Regional,AMR,,,,57400.0
1993,Regional,EMR,,,,50758.0
1993,Regional,EUR,,,,341982.0
1993,Regional,SEAR,,,,141301.0
1993,Regional,WPR,,,,157479.0
1994,Regional,AFR,,,,420193.0
1994,Regional,AMR,,,,23784.0
1994,Regional,EMR,,,,24578.0
1994,Regional,EUR,,,,190910.0
1994,Regional,SEAR,,,,152106.0
1994,Regional,WPR,,,,115237.0
1995,Regional,AFR,,,,362925.0
1995,Regional,AMR,,,,6478.0
1995,Regional,EMR,,,,20607.0
1995,Regional,EUR,,,,154107.0
1995,Regional,SEAR,,,,100900.0
1995,Regional,WPR,,,,75374.0
1996,Regional,AFR,,,,484914.0
1996,Regional,AMR,,,,1910.0
1996,Regional,EMR,,,,20249.0
1996,Regional,EUR,,,,178345.0
1996,Regional,SEAR,,,,102205.0
1996,Regional,WPR,,,,82595.0
1997,Regional,AFR,,,,299623.0
1997,Regional,AMR,,,,53567.0
1997,Regional,EMR,,,,33085.0
1997,Regional,EUR,,,,215767.0
1997,Regional,SEAR,,,,115844.0
1997,Regional,WPR,,,,107787.0
1998,Regional,AFR,,,,373149.0
1998,Regional,AMR,,,,14330.0
1998,Regional,EMR,,,,89478.0
1998,Regional,EUR,,,,77872.0
1998,Regional,SEAR,,,,62759.0
1998,Regional,WPR,,,,76878.0
1999,Regional,AFR,,,,486660.0
1999,Regional,AMR,,,,3209.0
1999,Regional,EMR,,,,71562.0
1999,Regional,EUR,,,,38811.0
1999,Regional,SEAR,,,,47741.0
1999,Regional,WPR,,,,104424.0
2000,Regional,AFR,50.0,5.0,45.0,520102.0
2000,Regional,AMR,93.0,65.0,28.0,1754.0
2000,Regional,EMR,70.0,27.0,43.0,38592.0
2000,Regional,EUR,91.0,48.0,43.0,37421.0
2000,Regional,SEAR,63.0,3.0,60.0,78558.0
2000,Regional,WPR,85.0,2.0,83.0,177052.0
2001,Regional,AFR,53.0,5.0,48.0,491989.0
2001,Regional,AMR,94.0,66.0,28.0,548.0
2001,Regional,EMR,71.0,33.0,38.0,41103.0
2001,Regional,EUR,92.0,62.0,30.0,58364.0
2001,Regional,SEAR,63.0,3.0,60.0,81771.0
2001,Regional,WPR,86.0,2.0,84.0,175398.0
2002,Regional,AFR,54.0,5.0,49.0,288340.0
2002,Regional,AMR,93.0,63.0,30.0,2579.0
2002,Regional,EMR,71.0,33.0,38.0,42616.0
2002,Regional,EUR,91.0,70.0,21.0,46718.0
2002,Regional,SEAR,62.0,3.0,59.0,76912.0
2002,Regional,WPR,86.0,3.0,83.0,129306.0
2003,Regional,AFR,57.0,5.0,52.0,403016.0
2003,Regional,AMR,94.0,61.0,33.0,119.0
2003,Regional,EMR,72.0,32.0,40.0,52110.0
2003,Regional,EUR,91.0,73.0,18.0,28203.0
2003,Regional,SEAR,65.0,6.0,59.0,94598.0
2003,Regional,WPR,86.0,3.0,83.0,101810.0
2004,Regional,AFR,59.0,4.0,55.0,220180.0
2004,Regional,AMR,93.0,63.0,30.0,108.0
2004,Regional,EMR,74.0,36.0,38.0,59804.0
2004,Regional,EUR,92.0,77.0,15.0,29510.0
2004,Regional,SEAR,69.0,7.0,62.0,112041.0
2004,Regional,WPR,88.0,4.0,84.0,91763.0
2005,Regional,AFR,61.0,4.0,57.0,316219.0
2005,Regional,AMR,92.0,62.0,30.0,85.0
2005,Regional,EMR,73.0,39.0,34.0,15069.0
2005,Regional,EUR,93.0,77.0,16.0,37338.0
2005,Regional,SEAR,73.0,6.0,67.0,88973.0
2005,Regional,WPR,88.0,64.0,24.0,128017.0
2006,Regional,AFR,64.0,4.0,60.0,99420.0
2006,Regional,AMR,94.0,61.0,33.0,226.0
2006,Regional,EMR,73.0,40.0,33.0,23303.0
2006,Regional,EUR,94.0,75.0,19.0,53344.0
2006,Regional,SEAR,73.0,9.0,64.0,98124.0
2006,Regional,WPR,93.0,71.0,22.0,103159.0
2007,Regional,AFR,65.0,4.0,61.0,76410.0
2007,Regional,AMR,93.0,60.0,33.0,176.0
2007,Regional,EMR,73.0,40.0,33.0,15670.0
2007,Regional,EUR,95.0,76.0,19.0,6936.0
2007,Regional,SEAR,74.0,12.0,62.0,73545.0
2007,Regional,WPR,92.0,71.0,21.0,112294.0
2008,Regional,AFR,68.0,4.0,64.0,37012.0
2008,Regional,AMR,94.0,62.0,32.0,206.0
2008,Regional,EMR,73.0,38.0,35.0,12120.0
2008,Regional,EUR,95.0,75.0,20.0,8879.0
2008,Regional,SEAR,76.0,13.0,63.0,72547.0
2008,Regional,WPR,95.0,82.0,13.0,147987.0
2009,Regional,AFR,72.0,5.0,67.0,83479.0
2009,Regional,AMR,93.0,66.0,27.0,89.0
2009,Regional,EMR,74.0,50.0,24.0,36605.0
2009,Regional,EUR,94.0,73.0,21.0,7499.0
2009,Regional,SEAR,80.0,14.0,66.0,84356.0
2009,Regional,WPR,97.0,86.0,11.0,66609.0
2010,Regional,AFR,71.0,4.0,67.0,199174.0
2010,Regional,AMR,93.0,67.0,26.0,247.0
2010,Regional,EMR,76.0,51.0,25.0,10072.0
2010,Regional,EUR,93.0,80.0,13.0,30625.0
2010,Regional,SEAR,83.0,15.0,68.0,54228.0
2010,Regional,WPR,97.0,87.0,10.0,49460.0
2011,Regional,AFR,71.0,4.0,67.0,195620.0
2011,Regional,AMR,94.0,72.0,22.0,1348.0
2011,Regional,EMR,76.0,54.0,22.0,34667.0
2011,Regional,EUR,94.0,83.0,11.0,37101.0
2011,Regional,SEAR,85.0,34.0,51.0,69546.0
2011,Regional,WPR,96.0,89.0,7.0,21050.0
2012,Regional,AFR,70.0,6.0,64.0,108004.0
2012,Regional,AMR,94.0,73.0,21.0,143.0
2012,Regional,EMR,76.0,55.0,21.0,34504.0
2012,Regional,EUR,95.0,83.0,12.0,27379.0
2012,Regional,SEAR,84.0,44.0,40.0,31582.0
2012,Regional,WPR,96.0,90.0,6.0,10764.0
2013,Regional,AFR,69.0,7.0,62.0,171178.0
2013,Regional,AMR,92.0,70.0,22.0,491.0
2013,Regional,EMR,78.0,59.0,19.0,20884.0
2013,Regional,EUR,95.0,89.0,6.0,26346.0
2013,Regional,SEAR,85.0,58.0,27.0,24564.0
2013,Regional,WPR,96.0,91.0,5.0,31844.0
2014,Regional,AFR,69.0,10.0,59.0,73914.0
2014,Regional,AMR,93.0,78.0,15.0,1966.0
2014,Regional,EMR,79.0,63.0,16.0,18080.0
2014,Regional,EUR,94.0,89.0,5.0,14176.0
2014,Regional,SEAR,87.0,59.0,28.0,42899.0
2014,Regional,WPR,96.0,92.0,4.0,131043.0
2015,Regional,AFR,68.0,17.0,51.0,52758.0
2015,Regional,AMR,93.0,78.0,15.0,611.0
2015,Regional,EMR,80.0,68.0,12.0,21418.0
2015,Regional,EUR,94.0,89.0,5.0,25957.0
2015,Regional,SEAR,88.0,66.0,22.0,48888.0
2015,Regional,WPR,96.0,92.0,4.0,65176.0
2016,Regional,AFR,68.0,22.0,46.0,36269.0
2016,Regional,AMR,92.0,80.0,12.0,97.0
2016,Regional,EMR,81.0,73.0,8.0,6275.0
2016,Regional,EUR,93.0,88.0,5.0,4440.0
2016,Regional,SEAR,89.0,75.0,14.0,27530.0
2016,Regional,WPR,96.0,93.0,3.0,57879.0
2017,Regional,AFR,70.0,24.0,46.0,72603.0
2017,Regional,AMR,88.0,75.0,13.0,895.0
2017,Regional,EMR,82.0,73.0,9.0,36434.0
2017,Regional,EUR,95.0,91.0,4.0,24356.0
2017,Regional,SEAR,91.0,79.0,12.0,28474.0
2017,Regional,WPR,96.0,93.0,3.0,10695.0
2018,Regional,AFR,70.0,25.0,45.0,125426.0
2018,Regional,AMR,91.0,84.0,7.0,15713.0
2018,Regional,EMR,82.0,73.0,9.0,64764.0
2018,Regional,EUR,95.0,92.0,3.0,89148.0
2018,Regional,SEAR,93.0,81.0,12.0,34741.0
2018,Regional,WPR,96.0,93.0,3.0,29503.0
2019,Regional,AFR,71.0,32.0,39.0,618595.0
2019,Regional,AMR,87.0,72.0,15.0,21971.0
2019,Regional,EMR,82.0,75.0,7.0,18458.0
2019,Regional,EUR,95.0,92.0,3.0,106481.0
2019,Regional,SEAR,94.0,83.0,11.0,29389.0
2019,Regional,WPR,96.0,93.0,3.0,78479.0
2020,Regional,AFR,70.0,39.0,31.0,115368.0
2020,Regional,AMR,86.0,73.0,13.0,9996.0
2020,Regional,EMR,82.0,75.0,7.0,6769.0
2020,Regional,EUR,94.0,91.0,3.0,11113.0
2020,Regional,SEAR,88.0,80.0,8.0,9389.0
2020,Regional,WPR,95.0,93.0,2.0,6605.0
2021,Regional,AFR,68.0,39.0,29.0,88760.0
2021,Regional,AMR,85.0,77.0,8.0,682.0
2021,Regional,EMR,80.0,75.0,5.0,26089.0
2021,Regional,EUR,95.0,92.0,3.0,109.0
2021,Regional,SEAR,87.0,79.0,8.0,6448.0
2021,Regional,WPR,92.0,91.0,1.0,1064.0
2022,Regional,AFR,67.0,43.0,24.0,97230.0
2022,Regional,AMR,84.0,76.0,8.0,47.0
2022,Regional,EMR,82.0,75.0,7.0,57976.0
2022,Regional,EUR,94.0,91.0,3.0,879.0
2022,Regional,SEAR,94.0,87.0,7.0,49201.0
2022,Regional,WPR,93.0,92.0,1.0,1442.0
2023,Regional,AFR,70.0,48.0,22.0,424433.0
2023,Regional,AMR,86.0,75.0,11.0,135.0
2023,Regional,EMR,80.0,73.0,7.0,92761.0
2023,Regional,EUR,94.0,91.0,3.0,60756.0
2023,Regional,SEAR,91.0,87.0,4.0,85368.0
2023,Regional,WPR,91.0,90.0,1.0,5630.0
2024,Regional,AFR,71.0,55.0,16.0,396226.0
2024,Regional,AMR,88.0,77.0,11.0,165.0
2024,Regional,EMR,80.0,75.0,5.0,78765.0
2024,Regional,EUR,94.0,91.0,3.0,148974.0
2024,Regional,SEAR,95.0,90.0,5.0,33752.0
2024,Regional,WPR,92.0,90.0,2.0,17651.0
